stage,model,oof_auc,fold_auc_mean,fold_auc_std,n_features,output_dir
s1,lightgbm,0.7576457172288115,0.7576719144773476,0.0024601629097999,78,results/s1
s2,lightgbm,0.7574048470249772,0.7574348268647734,0.0023577417518541,379,results/s2
s2_full,lightgbm,0.7603292072332253,0.7603525900772238,0.0027458310907658,801,results/s2_full
s2_logistic,logistic,0.7429401516095073,0.7429671411104137,0.0036484218402237653,379,results/s2_logistic
