stage,model,fold_id,auc,n_train,n_valid,n_features
s2_logistic,logistic,0,0.7397906502972433,246008,61503,379
s2_logistic,logistic,1,0.7416116398281968,246009,61502,379
s2_logistic,logistic,2,0.7393291787048313,246009,61502,379
s2_logistic,logistic,3,0.7460607185366637,246009,61502,379
s2_logistic,logistic,4,0.7485742112469513,246009,61502,379
