stage,model,fold_id,auc,n_train,n_valid,n_features
b1,lightgbm,0,0.7654941376219551,246008,61503,85
b1,lightgbm,1,0.7667377712580311,246009,61502,85
b1,lightgbm,2,0.7684631054023191,246009,61502,85
b1,lightgbm,3,0.7706680441923255,246009,61502,85
b1,lightgbm,4,0.7695252799987089,246009,61502,85
