stage,model,fold_id,auc,n_train,n_valid,n_features
b2,lightgbm,0,0.7846321968591417,246008,61503,184
b2,lightgbm,1,0.7841732176885794,246009,61502,184
b2,lightgbm,2,0.7867439339290703,246009,61502,184
b2,lightgbm,3,0.7873595847302343,246009,61502,184
b2,lightgbm,4,0.7881239889228668,246009,61502,184
