stage,model,fold_id,auc,n_train,n_valid,n_features
s2_full,lightgbm,0,0.7572784510142578,246008,61503,801
s2_full,lightgbm,1,0.758255888928426,246009,61502,801
s2_full,lightgbm,2,0.7591599302195688,246009,61502,801
s2_full,lightgbm,3,0.7645788378635948,246009,61502,801
s2_full,lightgbm,4,0.7624898423602713,246009,61502,801
