stage,model,fold_id,auc,n_train,n_valid,n_features
s2,lightgbm,0,0.755101669092826,246008,61503,379
s2,lightgbm,1,0.7556526404537441,246009,61502,379
s2,lightgbm,2,0.755842565004931,246009,61502,379
s2,lightgbm,3,0.7607076979292281,246009,61502,379
s2,lightgbm,4,0.7598695618431377,246009,61502,379
