stage,model,fold_id,auc,n_train,n_valid,n_features
s4,lightgbm,0,0.7849223670009284,246008,61503,184
s4,lightgbm,1,0.783958313283456,246009,61502,184
s4,lightgbm,2,0.7870742436919056,246009,61502,184
s4,lightgbm,3,0.7873772366378579,246009,61502,184
s4,lightgbm,4,0.7875819845165163,246009,61502,184
